Date,Product,Sales,Production,Factory_Issue,Delivery,Sub-Group,Sales_lag_1,Sales_lag_2,Sales_lag_3,Sales_lag_7,Sales_lag_14,Sales_lag_21,Sales_lag_28,Sales_rolling_mean_7,Sales_rolling_std_7,Sales_rolling_min_7,Sales_rolling_max_7,Sales_rolling_mean_14,Sales_rolling_std_14,Sales_rolling_min_14,Sales_rolling_max_14,Sales_rolling_mean_30,Sales_rolling_std_30,Sales_rolling_min_30,Sales_rolling_max_30,Production_lag_1,Production_lag_7,Production_lag_14,Production_rolling_mean_7,Production_rolling_std_7,Production_rolling_min_7,Production_rolling_max_7,Production_rolling_mean_14,Production_rolling_std_14,Production_rolling_min_14,Production_rolling_max_14,Factory_Issue_lag_1,Factory_Issue_lag_7,Factory_Issue_lag_14,Delivery_lag_1,Delivery_lag_7,Delivery_lag_14,Sales_pct_change_1,Sales_pct_change_7,Sales_momentum_7,Sales_momentum_14,Sales_trend_7_14,day_of_week,day_of_month,week_of_year,month,quarter,day_of_week_sin,day_of_week_cos,day_of_month_sin,day_of_month_cos,month_sin,month_cos,is_weekend,day_of_year,product_total_volume,product_avg_daily,product_std_daily,product_cv,product_activity_freq,group_A,group_M,group_P,group_S,daily_avg_all_products,sales_relative_to_avg,daily_total_all_products,market_share,production_sales_ratio,delivery_sales_ratio,factory_issue_rate,inventory_proxy,target_7d_sum,target_7d_avg,target_7d_max,target_14d_sum,target_14d_avg,target_14d_max,target_30d_sum,target_30d_avg,target_30d_max
2023-01-30,AT5X5K,569.0,1200,1420.0,1406.0,AT,2444.0,15.0,0.0,1120.0,2303.0,2254.0,1070.0,764.2857142857143,864.3127740746244,0.0,2444.0,931.2857142857143,751.3878880057613,0.0,2444.0,1342.18,1061.8186485199944,0.0,3504.0,1500.0,500.0,700.0,742.8571428571429,824.3323416704026,0.0,2000.0,1085.7142857142858,978.1121084534717,0.0,3000.0,710.0,530.0,2600.0,1132.0,847.4,2454.0,-0.7671849427168576,-0.49196428571428574,-195.28571428571433,-362.28571428571433,0.8206780172197046,0,30,5,1,1,0.0,1.0,-0.20129852008866114,0.9795299412524943,0.49999999999999994,0.8660254037844387,0,30,178251.2,806.5665158371041,938.8390921098855,1.1639946286829188,0.7873303167420814,True,False,False,False,3438.2043564527257,0.16549336247760357,48134.86099033816,0.011820954465878507,2.108963089439432,2.4710017531265347,1.1833333323472222,634.6000000000004,4980.4,711.4857142857143,2101.0,13261.4,947.2428571428571,2101.0,27369.2,912.3066666666667,3623.0
2023-01-31,AT5X5K,2101.0,1200,990.0,767.0,AT,569.0,2444.0,15.0,864.0,1746.0,2414.0,2355.0,941.0,1003.3681610788075,0.0,2444.0,956.6428571428571,786.1815808208548,0.0,2444.0,1324.1466666666668,1043.416572258831,0.0,3504.0,1200.0,500.0,1000.0,842.8571428571429,832.3804075404122,0.0,2000.0,1100.0,978.2244511987401,0.0,3000.0,1420.0,820.0,1786.0,1406.0,965.0,1990.0,2.6924428822495607,1.4317129629629628,1160.0,1144.357142857143,0.9836481733912437,1,31,5,1,1,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387,0,31,178251.2,806.5665158371041,938.8390921098855,1.1639946286829188,0.7873303167420814,True,False,False,False,2243.898714544513,0.9363167710937271,31414.58200362318,0.06687976939151387,0.5711565918271506,0.36506425494285377,0.8249999993124999,-266.39999999999964,3961.4,565.9142857142857,1440.0,14783.4,1055.9571428571428,3623.0,28257.2,941.9066666666666,3623.0
2023-02-01,AT5X5K,180.4,700,1450.0,1593.0,AT,2101.0,569.0,2444.0,247.0,1697.0,1453.0,909.8,931.4857142857143,1011.3298760025035,0.0,2444.0,848.3142857142857,780.7881805311496,0.0,2444.0,1294.4933333333333,1063.3391203099834,0.0,3504.0,1200.0,2000.0,2000.0,657.1428571428571,657.91879655254,0.0,1500.0,1007.1428571428571,947.4372605282957,0.0,3000.0,990.0,1210.0,1775.0,767.0,839.0,2063.6,-0.9141361256544502,-0.2696356275303643,-751.0857142857143,-667.9142857142857,1.0980431767730454,2,1,5,2,1,0.9749279121818236,-0.22252093395631434,0.20129852008866006,0.9795299412524945,0.8660254037844386,0.5000000000000001,0,32,178251.2,806.5665158371041,938.8390921098855,1.1639946286829188,0.7873303167420814,True,False,False,False,8869.700213940649,0.020338906121778903,124175.80299516907,0.0014527790088505852,3.8802660538787914,8.830376891184164,2.0714285684693876,253.2000000000004,4350.0,621.4285714285714,1440.0,15816.2,1129.7285714285715,3623.0,28076.8,935.8933333333333,3623.0
2023-02-02,AT5X5K,307.0,2000,60.0,197.0,AT,180.4,2101.0,569.0,1211.0,1457.0,2020.0,3504.0,802.342857142857,1027.2810177959147,0.0,2444.0,766.1714285714286,772.2719204534627,0.0,2444.0,1226.2266666666667,1058.6372342531347,0.0,3504.0,700.0,0.0,2500.0,942.8571428571429,752.4562952029015,0.0,2000.0,971.4285714285714,894.7956977206248,0.0,3000.0,1450.0,595.0,1900.0,1593.0,334.0,1751.0,0.7017738359201773,-0.7464905037159373,-495.34285714285704,-459.1714285714286,1.0472106191582498,3,2,5,2,1,0.43388373911755823,-0.900968867902419,0.39435585511331855,0.9189578116202306,0.8660254037844386,0.5000000000000001,0,33,178251.2,806.5665158371041,938.8390921098855,1.1639946286829188,0.7873303167420814,True,False,False,False,4944.909715665976,0.06208404553177356,69228.73601932367,0.004434574681673709,6.514657959235642,0.6416938089847107,0.029999999984999998,1946.2000000000003,5905.0,843.5714285714286,1862.0,15844.0,1131.7142857142858,3623.0,27804.8,926.8266666666666,3623.0
2023-02-03,AT5X5K,0.0,2000,330.0,221.0,AT,307.0,180.4,2101.0,0.0,0.0,0.0,0.0,802.342857142857,1027.2810177959147,0.0,2444.0,766.1714285714286,772.2719204534626,0.0,2444.0,1195.9,1080.813643383603,0.0,3504.0,2000.0,0.0,3000.0,1228.5714285714287,713.4757312253998,0.0,2000.0,900.0,748.3314773547877,0.0,2000.0,60.0,1080.0,990.0,197.0,837.0,715.0,-1.0,0.0,-802.342857142857,-766.1714285714286,1.0472106191582498,4,3,5,2,1,-0.433883739117558,-0.9009688679024191,0.5712682150947923,0.8207634412072763,0.8660254037844386,0.5000000000000001,0,34,178251.2,806.5665158371041,938.8390921098855,1.1639946286829188,0.7873303167420814,True,False,False,False,0.0,0.0,0.0,0.0,2000000000.0,221000000.0,0.1649999999175,3946.2000000000003,5905.0,843.5714285714286,1862.0,15844.0,1131.7142857142858,3623.0,29371.8,979.06,3623.0
2023-02-04,AT5X5K,220.0,500,230.0,195.4,AT,0.0,307.0,180.4,15.0,507.0,338.6,10.0,831.6285714285714,1003.7470294091137,0.0,2444.0,745.6714285714286,783.4097487940105,0.0,2444.0,1086.4333333333334,1002.4479088137485,0.0,3322.0,2000.0,0.0,500.0,1300.0,583.09518948453,500.0,2000.0,900.0,748.3314773547877,0.0,2000.0,330.0,455.0,1239.0,221.0,424.0,1231.0,0.0,13.666666666666666,-611.6285714285714,-525.6714285714286,1.115274822727949,5,4,5,2,1,-0.9749279121818236,-0.2225209339563146,0.72479278722912,0.6889669190756866,0.8660254037844386,0.5000000000000001,1,35,178251.2,806.5665158371041,938.8390921098855,1.1639946286829188,0.7873303167420814,True,False,False,False,818.9523550724638,0.26863589605514687,11465.332971014494,0.01918827831141003,2.2727272623966943,0.8881818141446282,0.45999999908,4226.200000000001,7160.0,1022.8571428571429,1862.0,15635.0,1116.7857142857142,3623.0,29591.8,986.3933333333333,3623.0
2023-02-05,AT5X5K,732.0,500,340.0,445.0,AT,220.0,0.0,307.0,2444.0,1161.0,2632.0,3322.0,587.0571428571428,711.3984510739937,0.0,2101.0,715.0285714285714,774.2512089144548,0.0,2444.0,1110.8333333333333,983.8274534494957,0.0,3322.0,500.0,1500.0,500.0,1157.142857142857,645.1282633635549,500.0,2000.0,900.0,748.3314773547877,0.0,2000.0,230.0,710.0,705.0,195.4,1132.0,770.0,2.327272727272727,-0.7004909983633387,144.94285714285718,16.971428571428646,0.8210261316736229,6,5,5,2,1,-0.7818314824680299,0.6234898018587334,0.8486442574947509,0.5289640103269624,0.8660254037844386,0.5000000000000001,1,36,178251.2,806.5665158371041,938.8390921098855,1.1639946286829188,0.7873303167420814,True,False,False,False,7183.0714285714275,0.10190626769859007,100562.99999999999,0.007279019122268838,0.6830601083564752,0.607923496437263,0.67999999864,3994.2000000000007,7956.0,1136.5714285714287,1862.0,16000.0,1142.857142857143,3623.0,29228.8,974.2933333333333,3623.0
2023-02-06,AT5X5K,1440.0,500,1060.0,913.0,AT,732.0,220.0,0.0,569.0,1120.0,2303.0,2254.0,711.4857142857143,780.5270343995604,0.0,2101.0,737.8857142857144,791.6541386014699,0.0,2444.0,1158.5,963.0757233808342,0.0,3322.0,500.0,1200.0,500.0,1057.142857142857,690.0655593423543,500.0,2000.0,900.0,748.3314773547877,0.0,2000.0,340.0,1420.0,530.0,445.0,1406.0,847.4,0.9672131147540983,1.5307557117750439,728.5142857142857,702.1142857142856,0.9642221004511818,0,6,6,2,1,0.0,1.0,0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0,37,178251.2,806.5665158371041,938.8390921098855,1.1639946286829188,0.7873303167420814,True,False,False,False,4215.1629291752915,0.3416238052606228,59012.28100845408,0.024401700381134296,0.34722222198109565,0.6340277773374806,2.11999999576,3054.2000000000007,8281.0,1183.0,1862.0,16813.0,1200.9285714285713,3623.0,27788.8,926.2933333333333,3623.0
2023-02-07,AT5X5K,1082.0,0,1290.0,1370.0,AT,1440.0,732.0,220.0,2101.0,864.0,1746.0,2414.0,565.9142857142857,534.4043894173893,0.0,1440.0,753.4571428571429,796.4549740658827,0.0,2444.0,1083.8333333333333,872.0921591339924,0.0,2632.0,500.0,1200.0,500.0,885.7142857142857,790.418816047483,0.0,2000.0,864.2857142857143,780.1450978032052,0.0,2000.0,1060.0,990.0,820.0,913.0,767.0,965.0,-0.24861111111111112,-0.48500713945740126,516.0857142857143,328.5428571428571,0.7510902117368261,1,7,6,2,1,0.7818314824680298,0.6234898018587336,0.9884683243281114,0.1514277775045767,0.8660254037844386,0.5000000000000001,0,38,178251.2,806.5665158371041,938.8390921098855,1.1639946286829188,0.7873303167420814,True,False,False,False,3227.2388554175295,0.33527112436948625,45181.34397584541,0.02394793746185383,0.0,1.26617375114032,1290000000.0,1972.2000000000007,10822.0,1546.0,3623.0,15731.0,1123.642857142857,3623.0,27982.8,932.76,3623.0
2023-02-08,AT5X5K,569.0,0,1373.0,742.0,AT,1082.0,1440.0,732.0,180.4,247.0,1697.0,1453.0,621.4285714285714,507.172507516874,0.0,1440.0,776.4571428571429,785.2753771906885,0.0,2444.0,1027.6666666666667,848.0590371988926,0.0,2632.0,0.0,700.0,2000.0,785.7142857142857,859.1246929842247,0.0,2000.0,721.4285714285714,738.1667222857643,0.0,2000.0,1290.0,1450.0,1210.0,1370.0,1593.0,839.0,-0.47412199630314233,2.15410199556541,-52.428571428571445,-207.4571428571429,0.8003385329698318,2,8,6,2,1,0.9749279121818236,-0.22252093395631434,0.9987165071710528,-0.05064916883871264,0.8660254037844386,0.5000000000000001,0,39,178251.2,806.5665158371041,938.8390921098855,1.1639946286829188,0.7873303167420814,True,False,False,False,2752.6229273636995,0.20671193069595,38536.72098309179,0.014765137911834451,0.0,1.304042176970049,1373000000.0,1403.2000000000007,11466.2,1638.0285714285715,3623.0,17596.0,1256.857142857143,3623.0,27413.8,913.7933333333333,3623.0
