id,source,source_index,target,target_index,coefficient,correlation,relationship_type,lag
0,Production,0,Factory_Issue,1,1.0,0.7985092268625475,causal,0
1,Production,0,Delivery,2,1.0,0.7059104780815955,causal,0
2,Production,0,Sales_rolling_mean_7,16,1.0,0.6382038686161207,causal,0
3,Production,0,Sales_rolling_std_7,17,1.0,0.5073744194458649,causal,0
4,Production,0,Sales_rolling_max_7,19,1.0,0.5552314150606182,causal,0
5,Production,0,Sales_rolling_mean_14,20,1.0,0.6275667300050215,causal,0
15,Production,0,Delivery_lag_1,58,1.0,0.6258467672221252,causal,0
16,Production,0,Delivery_rolling_mean_7,65,1.0,0.6704163970757668,causal,0
17,Production,0,Delivery_rolling_min_7,67,1.0,0.586830902828975,causal,0
18,Production,0,Delivery_rolling_max_7,68,1.0,0.5774390651469697,causal,0
20,Production,0,Delivery_rolling_min_14,71,1.0,0.5004666553352576,causal,0
21,Factory_Issue,1,Delivery,2,1.0,0.7308260384387427,causal,0
22,Factory_Issue,1,Sales_rolling_mean_7,16,1.0,0.6727805429231621,causal,0
23,Factory_Issue,1,Sales_rolling_std_7,17,1.0,0.5162293973407028,causal,0
24,Factory_Issue,1,Sales_rolling_max_7,19,1.0,0.5668528043884301,causal,0
25,Factory_Issue,1,Sales_rolling_mean_14,20,1.0,0.6570295970631722,causal,0
26,Factory_Issue,1,Sales_rolling_std_14,21,1.0,0.5173390123840677,causal,0
27,Factory_Issue,1,Sales_rolling_max_14,23,1.0,0.576606322725386,causal,0
28,Factory_Issue,1,Sales_rolling_mean_30,24,1.0,0.540389246047377,causal,0
29,Factory_Issue,1,Sales_rolling_std_30,25,1.0,0.4558018202700162,causal,0
30,Factory_Issue,1,Sales_rolling_max_30,27,1.0,0.42745971261815524,causal,0
31,Factory_Issue,1,Production_lag_1,28,1.0,0.6842454433899084,causal,0
32,Factory_Issue,1,Production_lag_7,29,1.0,0.3701870108729726,causal,0
33,Factory_Issue,1,Production_rolling_mean_7,35,1.0,0.6935446285970421,causal,0
34,Factory_Issue,1,Production_rolling_std_7,36,1.0,0.3798505515936398,causal,0
35,Factory_Issue,1,Production_rolling_min_7,37,1.0,0.6564200547554011,causal,0
36,Factory_Issue,1,Production_rolling_max_7,38,1.0,0.6753045128870863,causal,0
37,Factory_Issue,1,Production_rolling_mean_14,39,1.0,0.5628918600477724,causal,0
38,Factory_Issue,1,Production_rolling_std_14,40,1.0,0.191145894664008,causal,0
39,Factory_Issue,1,Production_rolling_min_14,41,1.0,0.5014462926048717,causal,0
40,Factory_Issue,1,Production_rolling_max_14,42,1.0,0.5354370048347776,causal,0
41,Factory_Issue,1,Factory_Issue_lag_1,43,1.0,0.6737810438979903,causal,0
42,Factory_Issue,1,Factory_Issue_rolling_mean_7,50,1.0,0.7202921513733971,causal,0
43,Factory_Issue,1,Factory_Issue_rolling_std_7,51,1.0,0.4667909568860353,causal,0
44,Factory_Issue,1,Factory_Issue_rolling_min_7,52,1.0,0.5619443288007391,causal,0
45,Factory_Issue,1,Factory_Issue_rolling_max_7,53,1.0,0.6869229303102494,causal,0
46,Factory_Issue,1,Factory_Issue_rolling_mean_14,54,1.0,0.5786094108443679,causal,0
47,Factory_Issue,1,Factory_Issue_rolling_std_14,55,0.2842124070786648,0.2842124070786648,associated,0
48,Factory_Issue,1,Factory_Issue_rolling_min_14,56,1.0,0.47845949307057795,causal,0
49,Factory_Issue,1,Factory_Issue_rolling_max_14,57,1.0,0.526055390060256,causal,0
50,Factory_Issue,1,Delivery_lag_1,58,1.0,0.6671425199910805,causal,0
51,Factory_Issue,1,Delivery_rolling_mean_7,65,1.0,0.7075214181791301,causal,0
52,Factory_Issue,1,Delivery_rolling_std_7,66,0.36516179902973334,0.36516179902973334,associated,0
53,Factory_Issue,1,Delivery_rolling_min_7,67,1.0,0.5929585368862158,causal,0
54,Factory_Issue,1,Delivery_rolling_max_7,68,1.0,0.6520862475715672,causal,0
55,Factory_Issue,1,Delivery_rolling_mean_14,69,1.0,0.6191688090168324,causal,0
56,Factory_Issue,1,Delivery_rolling_std_14,70,0.2173774085320046,0.2173774085320046,associated,0
57,Factory_Issue,1,Delivery_rolling_min_14,71,1.0,0.5397064514001222,causal,0
58,Factory_Issue,1,Delivery_rolling_max_14,72,1.0,0.5687935437435659,causal,0
59,Delivery,2,Sales_lag_2,10,1.0,0.39312407226001594,causal,0
60,Delivery,2,Sales_rolling_mean_7,16,1.0,0.692394605105077,causal,0
61,Delivery,2,Sales_rolling_std_7,17,1.0,0.5086917633713938,causal,0
62,Delivery,2,Sales_rolling_max_7,19,1.0,0.5807410100609215,causal,0
63,Delivery,2,Sales_rolling_mean_14,20,1.0,0.6290654955310805,causal,0
64,Delivery,2,Sales_rolling_mean_30,24,1.0,0.5368498235799881,causal,0
65,Delivery,2,Production_lag_1,28,1.0,0.6200088404246715,causal,0
66,Delivery,2,Production_rolling_min_14,41,1.0,0.4812335616474504,causal,0
