Source,Target,Weight,Lag,Edge_Type
Temperature_lag_2,Temperature,0.9391304219387148,2,lagged
Temperature_lag_2,Sunshine,-0.8843089279102667,2,lagged
Humidity_lag_2,Humidity,0.7024746168781169,2,lagged
Temperature_lag_1,Sunshine,0.6752070019004154,1,lagged
Delivery_lag_1,Sales,0.645386003848286,1,lagged
Temperature_lag_4,Rainfall,0.5993038650356152,4,lagged
Humidity_lag_1,Sunshine,-0.5826161092847362,1,lagged
Temperature_lag_4,Humidity,0.5822268638190841,4,lagged
Delivery_lag_1,Factory_Issue,0.5360465408385007,1,lagged
Temperature_lag_3,Sunshine,0.47616550515437905,3,lagged
Delivery_lag_2,Sales,0.46449468232456714,2,lagged
Factory_Issue_lag_1,Production,0.416323943892218,1,lagged
Sunshine_lag_2,Sunshine,0.4065599602854616,2,lagged
Temperature_lag_2,Rainfall,-0.3849367436905097,2,lagged
Rainfall_lag_1,typical_rain_mm,0.38385836347129143,1,lagged
Humidity_lag_2,Rainfall,0.3620179334722649,2,lagged
Delivery_lag_6,Sales,0.3554037276505547,6,lagged
Humidity_lag_2,Temperature,0.33134055900558257,2,lagged
Temperature_lag_3,Humidity,-0.32320236608255054,3,lagged
Sales_lag_2,Delivery,0.3229125564545952,2,lagged
Sales_lag_3,Sales,-0.31469748009747006,3,lagged
Humidity_lag_5,Rainfall,-0.2969885495736572,5,lagged
Temperature_lag_5,Rainfall,-0.2905493964458878,5,lagged
Humidity_lag_6,typical_rain_mm,-0.28735634349785943,6,lagged
Temperature_lag_5,typical_rain_mm,0.2706446371534196,5,lagged
Humidity_lag_3,typical_rain_mm,0.26502657560167386,3,lagged
Delivery_lag_5,Sales,-0.2635505761407041,5,lagged
Rainfall_lag_2,typical_rain_mm,-0.2600459828308771,2,lagged
BDT_USD_lag_4,BDT_USD,-0.2597994232081877,4,lagged
Humidity_lag_1,Temperature,-0.2592660384842592,1,lagged
Humidity_lag_5,typical_rain_mm,0.25440620580263923,5,lagged
BDT_USD_lag_3,BDT_USD,-0.2502766977224448,3,lagged
Delivery_lag_6,Delivery,0.23755674602582832,6,lagged
Delivery_lag_3,BDT_USD,0.23625685779635014,3,lagged
Factory_Issue_lag_1,Sales,0.22880395451313268,1,lagged
BDT_USD_lag_6,BDT_USD,-0.22606248188161954,6,lagged
typical_rain_mm_lag_3,Rainfall,0.2224786619129798,3,lagged
Temperature_lag_6,BDT_USD,-0.22244888156959747,6,lagged
Temperature_lag_3,Rainfall,0.21487327759415759,3,lagged
Temperature_lag_4,BDT_USD,0.21374391710377594,4,lagged
BDT_USD_lag_5,BDT_USD,-0.2119762040149173,5,lagged
Production_lag_2,Factory_Issue,0.20704600580514648,2,lagged
Temperature_lag_5,Sunshine,-0.20577856859484564,5,lagged
Humidity_lag_2,Sunshine,0.205092941358726,2,lagged
Humidity_lag_4,Humidity,0.19856467753969204,4,lagged
Rainfall_lag_4,typical_rain_mm,-0.1912869330200015,4,lagged
Factory_Issue_lag_2,Sales,-0.18997720203230264,2,lagged
Sunshine_lag_4,Rainfall,-0.18962830155003163,4,lagged
Delivery_lag_2,Delivery,0.18794834963167747,2,lagged
Temperature_lag_3,typical_rain_mm,-0.18283362679258347,3,lagged
Humidity_lag_4,BDT_USD,-0.18231039709266234,4,lagged
Temperature_lag_4,Sales,-0.18220099276003632,4,lagged
Rainfall_lag_3,Sunshine,0.1792571412991237,3,lagged
Delivery_lag_5,Rainfall,-0.17073514662118652,5,lagged
Delivery_lag_1,Production,0.1704127289622259,1,lagged
typical_rain_mm_lag_4,typical_rain_mm,0.16660195123197918,4,lagged
Sales_lag_4,BDT_USD,-0.16630147009644022,4,lagged
Delivery_lag_1,typical_rain_mm,-0.163871123037295,1,lagged
Production_lag_2,Production,0.15904165109825003,2,lagged
Humidity_lag_6,BDT_USD,0.15577444454377787,6,lagged
Temperature_lag_5,BDT_USD,0.15430449164790494,5,lagged
Delivery_lag_6,Production,0.14989663923084273,6,lagged
Sales_lag_3,Delivery,0.14891422120218886,3,lagged
Rainfall_lag_5,Rainfall,-0.1472014117195777,5,lagged
Sales_lag_2,BDT_USD,0.14653057802390174,2,lagged
Sales_lag_6,Sales,-0.14399643130292356,6,lagged
Temperature_lag_5,Humidity,-0.14230215947599248,5,lagged
Factory_Issue_lag_2,Delivery,0.13975011012335595,2,lagged
Rainfall_lag_4,Rainfall,0.13845500092579002,4,lagged
Production_lag_2,Sales,-0.13637404697428848,2,lagged
Sunshine_lag_5,Sunshine,-0.13346926048957844,5,lagged
typical_rain_mm_lag_2,Rainfall,0.13157975321755855,2,lagged
Humidity_lag_6,Rainfall,0.1304484168978407,6,lagged
Delivery_lag_4,Sales,0.13016892937513092,4,lagged
Factory_Issue_lag_5,Production,0.1282767742225781,5,lagged
Sunshine_lag_2,BDT_USD,-0.12812267597466903,2,lagged
Rainfall_lag_4,Sunshine,-0.126625828246696,4,lagged
Production_lag_4,Factory_Issue,0.12623159240010515,4,lagged
Sales_lag_5,Delivery,0.12505243376332503,5,lagged
Humidity_lag_5,Temperature,-0.124722480912954,5,lagged
Humidity_lag_5,BDT_USD,-0.1234277025332522,5,lagged
typical_rain_mm_lag_4,Rainfall,0.12248508205743232,4,lagged
BDT_USD_lag_3,Humidity,0.12031068414600932,3,lagged
typical_rain_mm_lag_2,typical_rain_mm,0.12018315317187006,2,lagged
Rainfall_lag_3,typical_rain_mm,0.11862427319362837,3,lagged
Sales_lag_2,Sales,-0.11726009095968008,2,lagged
Production_lag_3,Sales,-0.11656415704482091,3,lagged
Sunshine_lag_5,typical_rain_mm,0.11636547930664157,5,lagged
Sunshine_lag_5,BDT_USD,-0.11579045348317255,5,lagged
Production_lag_1,Sales,0.11481759916536406,1,lagged
Factory_Issue_lag_2,Factory_Issue,0.11435518951749282,2,lagged
Rainfall_lag_6,Humidity,0.11435127675992632,6,lagged
Temperature_lag_6,Sales,0.1113239470917983,6,lagged
Rainfall_lag_2,Sunshine,-0.11087987838067043,2,lagged
typical_rain_mm_lag_6,Sunshine,0.11043840425549173,6,lagged
Delivery_lag_5,Delivery,-0.10945516294019816,5,lagged
Factory_Issue_lag_2,BDT_USD,0.10869393944838772,2,lagged
Factory_Issue_lag_6,Production,-0.1068431449586782,6,lagged
Rainfall_lag_1,Sunshine,0.10635609187485434,1,lagged
Sunshine_lag_5,Humidity,-0.10511808381411261,5,lagged
Sunshine_lag_4,BDT_USD,-0.10394993382953892,4,lagged
Humidity_lag_3,Temperature,-0.10145322299726799,3,lagged
Temperature_lag_2,Humidity,-0.10139265544719972,2,lagged
Sunshine_lag_6,Sunshine,0.09747456614116479,6,lagged
Factory_Issue_lag_2,Production,0.09734475166469465,2,lagged
Delivery_lag_4,Delivery,-0.09597268768657843,4,lagged
Delivery_lag_2,BDT_USD,-0.0958471552995247,2,lagged
Humidity_lag_3,BDT_USD,0.09530928024155781,3,lagged
Factory_Issue_lag_5,Delivery,0.09463469863340382,5,lagged
typical_rain_mm_lag_3,BDT_USD,-0.09356711874289075,3,lagged
BDT_USD_lag_5,Rainfall,-0.09230753417189429,5,lagged
BDT_USD_lag_2,Humidity,0.09177722158998329,2,lagged
Rainfall_lag_4,BDT_USD,0.09174128541529,4,lagged
Sunshine_lag_3,Sunshine,-0.0915313528984755,3,lagged
Delivery_lag_5,Production,-0.0914335722353819,5,lagged
