Source,Target,Weight,Lag,Edge_Type
Temperature_lag_2,Temperature,0.9575005787005989,2,lagged
Delivery_lag_1,Sales,0.7650449403990334,1,lagged
Temperature_lag_2,Sunshine,-0.7487850766676776,2,lagged
Humidity_lag_2,Humidity,0.7120119849403137,2,lagged
Temperature_lag_2,BDT_USD,-0.6266317390375838,2,lagged
Temperature_lag_1,BDT_USD,0.6129051323846946,1,lagged
Humidity_lag_1,Sunshine,-0.5967581217730229,1,lagged
Temperature_lag_1,Sunshine,0.5646263098405853,1,lagged
Delivery_lag_1,Factory_Issue,0.5487593830175066,1,lagged
Temperature_lag_2,Rainfall,-0.4512737659682258,2,lagged
Temperature_lag_3,Sunshine,0.4448547651567443,3,lagged
Delivery_lag_2,Sales,0.4277560228152518,2,lagged
Sunshine_lag_2,Sunshine,0.42471104462393083,2,lagged
Factory_Issue_lag_1,Production,0.4171532738478235,1,lagged
Temperature_lag_4,Humidity,0.3984898309096074,4,lagged
Rainfall_lag_1,typical_rain_mm,0.3843622957819572,1,lagged
Temperature_lag_3,Rainfall,0.3638725965749276,3,lagged
Humidity_lag_2,Rainfall,0.3449306332242287,2,lagged
Sales_lag_3,Sales,-0.34198702907825446,3,lagged
Temperature_lag_3,Humidity,-0.33446893139957834,3,lagged
Humidity_lag_2,Temperature,0.32481187799311295,2,lagged
Sales_lag_2,Delivery,0.3100400434370663,2,lagged
Temperature_lag_4,typical_rain_mm,0.2833124241569625,4,lagged
Delivery_lag_3,BDT_USD,0.2656241026988505,3,lagged
Humidity_lag_1,Temperature,-0.26162823889397285,1,lagged
Rainfall_lag_2,typical_rain_mm,-0.24798570569730863,2,lagged
Factory_Issue_lag_1,Sales,0.2370199399889893,1,lagged
Sales_lag_2,BDT_USD,0.21671176196094596,2,lagged
Temperature_lag_4,Sunshine,-0.21409762746418673,4,lagged
Humidity_lag_2,Sunshine,0.20936972335889567,2,lagged
Temperature_lag_3,typical_rain_mm,-0.20915164735186378,3,lagged
typical_rain_mm_lag_3,Rainfall,0.2003823607347185,3,lagged
Delivery_lag_2,Delivery,0.1985766822816188,2,lagged
Factory_Issue_lag_2,Sales,-0.19601240067957493,2,lagged
Sales_lag_2,Sales,-0.1947881784709409,2,lagged
Rainfall_lag_4,typical_rain_mm,-0.19463384853432925,4,lagged
BDT_USD_lag_4,BDT_USD,-0.19241022211059244,4,lagged
Production_lag_2,Factory_Issue,0.19220355277409965,2,lagged
Delivery_lag_1,Production,0.18811758430573053,1,lagged
Humidity_lag_4,Rainfall,-0.18739750724349155,4,lagged
Humidity_lag_3,typical_rain_mm,0.18644411501096908,3,lagged
Rainfall_lag_3,Sunshine,0.18141807704741736,3,lagged
Production_lag_2,Sales,-0.16983763796623277,2,lagged
Production_lag_1,Sales,0.16534273206494535,1,lagged
Humidity_lag_4,Humidity,0.16508183853242148,4,lagged
Factory_Issue_lag_2,Delivery,0.16443076200007142,2,lagged
BDT_USD_lag_3,BDT_USD,-0.1627237236576502,3,lagged
Humidity_lag_2,BDT_USD,-0.15758662237375204,2,lagged
Sunshine_lag_4,Rainfall,-0.1550157721931815,4,lagged
typical_rain_mm_lag_2,Rainfall,0.1528450791176549,2,lagged
typical_rain_mm_lag_4,Rainfall,0.15261134599705503,4,lagged
Production_lag_2,Production,0.15076152512075497,2,lagged
Production_lag_3,Sales,-0.150652526840193,3,lagged
Sales_lag_4,BDT_USD,-0.14796077607558877,4,lagged
Temperature_lag_3,BDT_USD,0.14768084879270157,3,lagged
Temperature_lag_4,Rainfall,0.1438527266960855,4,lagged
typical_rain_mm_lag_4,typical_rain_mm,0.14379946787864276,4,lagged
Humidity_lag_1,BDT_USD,0.14156969397610134,1,lagged
typical_rain_mm_lag_2,typical_rain_mm,0.13855810040298083,2,lagged
Delivery_lag_2,BDT_USD,-0.13563470268130384,2,lagged
Factory_Issue_lag_2,Factory_Issue,0.13500394752101405,2,lagged
Production_lag_4,Factory_Issue,0.1336724232518631,4,lagged
Sales_lag_3,Delivery,0.1268368786982995,3,lagged
Factory_Issue_lag_2,BDT_USD,0.12246941398964933,2,lagged
Humidity_lag_4,BDT_USD,-0.12140264111559909,4,lagged
Production_lag_4,BDT_USD,-0.11766203949799417,4,lagged
BDT_USD_lag_3,Humidity,0.11662966049872274,3,lagged
Delivery_lag_1,BDT_USD,-0.11604480639809786,1,lagged
Temperature_lag_3,Sales,0.11238916904513069,3,lagged
Humidity_lag_3,BDT_USD,0.11183921111089784,3,lagged
