Source,Target,Weight,Lag,Edge_Type
Temperature_lag_2,Temperature,0.9164288253480914,2,lagged
Temperature_lag_2,Sunshine,-0.8316912610759977,2,lagged
Delivery_lag_1,Sales,0.7530682414146885,1,lagged
Humidity_lag_2,Humidity,0.7232519736603678,2,lagged
Temperature_lag_1,Sunshine,0.6244431080483616,1,lagged
Humidity_lag_1,Sunshine,-0.6154092156876118,1,lagged
Delivery_lag_1,Factory_Issue,0.5614070474372989,1,lagged
Temperature_lag_4,Rainfall,0.5563909359563132,4,lagged
Temperature_lag_4,Humidity,0.5476741774871543,4,lagged
Temperature_lag_3,Sunshine,0.48467233960356687,3,lagged
Delivery_lag_2,Sales,0.45406395969895136,2,lagged
Temperature_lag_2,Rainfall,-0.42355127836729334,2,lagged
Factory_Issue_lag_1,Production,0.4212122852190253,1,lagged
Sunshine_lag_2,Sunshine,0.4042379025838762,2,lagged
Humidity_lag_2,Rainfall,0.37567700693581707,2,lagged
Rainfall_lag_1,typical_rain_mm,0.3716187611457708,1,lagged
Temperature_lag_3,Humidity,-0.3318434444680512,3,lagged
Humidity_lag_2,Temperature,0.33072699795330424,2,lagged
Sales_lag_3,Sales,-0.3177899552856137,3,lagged
Temperature_lag_5,Rainfall,-0.29729476164681684,5,lagged
Sales_lag_2,Delivery,0.297288823075527,2,lagged
Humidity_lag_1,Temperature,-0.2642688354332043,1,lagged
Humidity_lag_4,BDT_USD,-0.2575474610548441,4,lagged
Humidity_lag_3,typical_rain_mm,0.2575125022437617,3,lagged
Rainfall_lag_2,typical_rain_mm,-0.24076194341766494,2,lagged
Factory_Issue_lag_1,Sales,0.2353441594923966,1,lagged
Temperature_lag_3,Rainfall,0.23175578542629824,3,lagged
Delivery_lag_2,Delivery,0.22273228226518174,2,lagged
Humidity_lag_2,Sunshine,0.2144857812232804,2,lagged
Delivery_lag_5,Sales,-0.2125922750878825,5,lagged
BDT_USD_lag_3,BDT_USD,-0.21227094418387027,3,lagged
Temperature_lag_5,Sunshine,-0.2100605063521901,5,lagged
Factory_Issue_lag_2,Sales,-0.20651814542897856,2,lagged
Delivery_lag_3,BDT_USD,0.2052282120125573,3,lagged
typical_rain_mm_lag_3,Rainfall,0.20392599641896633,3,lagged
BDT_USD_lag_4,BDT_USD,-0.2032850638012986,4,lagged
BDT_USD_lag_5,BDT_USD,-0.20151140800768114,5,lagged
Production_lag_2,Factory_Issue,0.1947180664585877,2,lagged
Humidity_lag_4,Humidity,0.19402109298572223,4,lagged
Sunshine_lag_4,Rainfall,-0.19324289601829656,4,lagged
Sales_lag_2,BDT_USD,0.19114721123069964,2,lagged
Delivery_lag_1,Production,0.1857620854998631,1,lagged
Sales_lag_2,Sales,-0.18112765466204614,2,lagged
Rainfall_lag_3,Sunshine,0.18068561624842408,3,lagged
Rainfall_lag_4,typical_rain_mm,-0.17961299667334424,4,lagged
Temperature_lag_3,typical_rain_mm,-0.17824179089477765,3,lagged
Humidity_lag_5,Rainfall,-0.17210667273536148,5,lagged
Production_lag_2,Sales,-0.16793039648660832,2,lagged
Sales_lag_3,Delivery,0.1588063614499868,3,lagged
Temperature_lag_4,Sales,-0.15328786700841146,4,lagged
Production_lag_1,Sales,0.14952964548427394,1,lagged
Production_lag_2,Production,0.14483550398461342,2,lagged
Factory_Issue_lag_2,Delivery,0.1429327792546338,2,lagged
typical_rain_mm_lag_4,typical_rain_mm,0.14166319618078738,4,lagged
Sales_lag_1,BDT_USD,-0.14107937960612588,1,lagged
Temperature_lag_5,typical_rain_mm,0.13869568131755586,5,lagged
Factory_Issue_lag_2,BDT_USD,0.13776620246607668,2,lagged
typical_rain_mm_lag_3,BDT_USD,-0.13520507668247125,3,lagged
Sunshine_lag_5,Humidity,-0.13475281534770792,5,lagged
Humidity_lag_5,Temperature,-0.12994477039747587,5,lagged
Sales_lag_4,BDT_USD,-0.1297772860361923,4,lagged
Production_lag_3,Sales,-0.12974055010861793,3,lagged
Temperature_lag_4,typical_rain_mm,0.1293612568636089,4,lagged
typical_rain_mm_lag_4,Rainfall,0.1293243348583967,4,lagged
Rainfall_lag_5,Rainfall,-0.12913211002703837,5,lagged
typical_rain_mm_lag_2,typical_rain_mm,0.12868177290970134,2,lagged
Temperature_lag_5,Humidity,-0.12774100827903376,5,lagged
Sales_lag_5,Delivery,0.12578384551484223,5,lagged
Factory_Issue_lag_2,Factory_Issue,0.1229295094479705,2,lagged
typical_rain_mm_lag_2,Rainfall,0.12276389604213857,2,lagged
Delivery_lag_1,typical_rain_mm,-0.12148452280147798,1,lagged
BDT_USD_lag_3,Humidity,0.12142765332951816,3,lagged
Delivery_lag_5,Rainfall,-0.12131225394104563,5,lagged
Production_lag_4,Factory_Issue,0.11951403667397,4,lagged
Factory_Issue_lag_5,Delivery,0.11825274919719206,5,lagged
Rainfall_lag_4,Rainfall,0.11809884792650358,4,lagged
Factory_Issue_lag_5,Production,0.1154857831449543,5,lagged
Sunshine_lag_2,BDT_USD,-0.11538804817521979,2,lagged
Rainfall_lag_3,typical_rain_mm,0.11269022431534335,3,lagged
Humidity_lag_3,BDT_USD,0.11209827512684507,3,lagged
Delivery_lag_2,BDT_USD,-0.10970623792676501,2,lagged
Rainfall_lag_5,BDT_USD,0.10857544579301578,5,lagged
Delivery_lag_4,Delivery,-0.10852931095668253,4,lagged
Temperature_lag_3,BDT_USD,0.10750040293189987,3,lagged
Delivery_lag_5,BDT_USD,-0.10637717922248956,5,lagged
typical_rain_mm_lag_2,Sunshine,0.10413291802249386,2,lagged
Humidity_lag_3,Temperature,-0.10335531111407742,3,lagged
Temperature_lag_4,BDT_USD,0.10231197895657479,4,lagged
Rainfall_lag_4,Sunshine,-0.10204700464128436,4,lagged
Temperature_lag_5,Sales,0.0990674408569877,5,lagged
Sunshine_lag_4,BDT_USD,-0.0989386289032958,4,lagged
Sunshine_lag_5,Sunshine,-0.09793869741108693,5,lagged
Factory_Issue_lag_5,Sales,0.09741592021466731,5,lagged
Rainfall_lag_1,Sunshine,0.09666918938775503,1,lagged
BDT_USD_lag_2,Humidity,0.09594609325187382,2,lagged
Delivery_lag_4,Sales,0.09577070687729787,4,lagged
Delivery_lag_5,Production,-0.09291732832992744,5,lagged
Production_lag_4,BDT_USD,-0.09271063721932843,4,lagged
Humidity_lag_2,typical_rain_mm,-0.0904506062883086,2,lagged
Sunshine_lag_2,typical_rain_mm,-0.0897739797500732,2,lagged
BDT_USD_lag_5,Rainfall,-0.0894879935650793,5,lagged
Sunshine_lag_3,Sunshine,-0.08781492594830903,3,lagged
Rainfall_lag_2,Sunshine,-0.08750570767392907,2,lagged
Factory_Issue_lag_2,Production,0.0873320133326793,2,lagged
Humidity_lag_3,Humidity,-0.08677512786031871,3,lagged
Rainfall_lag_3,Rainfall,0.08528589968579937,3,lagged
Rainfall_lag_2,BDT_USD,0.08415885875090191,2,lagged
Sales_lag_4,Sales,0.08413120369451778,4,lagged
BDT_USD_lag_5,typical_rain_mm,-0.08229523653232888,5,lagged
Sunshine_lag_3,typical_rain_mm,0.08211309934123882,3,lagged
Factory_Issue_lag_3,Production,0.0816250823946992,3,lagged
typical_rain_mm_lag_5,Rainfall,0.08155008290243577,5,lagged
Factory_Issue_lag_3,Sales,-0.08073047425215557,3,lagged
Factory_Issue_lag_1,BDT_USD,-0.07646391470071164,1,lagged
Humidity_lag_5,BDT_USD,0.07599601035346282,5,lagged
Sales_lag_3,BDT_USD,0.07576124557053372,3,lagged
typical_rain_mm_lag_1,Sunshine,-0.07572571376919428,1,lagged
Sales_lag_4,Production,0.07460629939893006,4,lagged
Humidity_lag_4,Temperature,0.07423025239545955,4,lagged
Factory_Issue_lag_3,Factory_Issue,-0.072775510849302,3,lagged
Production_lag_5,Production,-0.07221224088878012,5,lagged
Production_lag_4,Sales,0.06950592965138594,4,lagged
